word,ipa
보름,p0 oo rr xx mf
실무자,s0 ii ll mm uu c0 aa
기후,k0 ii h0 uu
파멸,ph aa mm yv ll
연속,yv nf ss oo kf
자원,c0 aa wv nf
타당,th aa t0 aa ng
수의학,s0 uu xi h0 aa kf
제세,c0 ee s0 ee
대공국,t0 qq k0 oo ng k0 uu kf
제설,c0 ee s0 vv ll
피타,ph ii th aa
자웅,c0 aa uu ng
피탈,ph ii th aa ll
벽면,p0 yv ng mm yv nf
보류,p0 oo rr yu
감옥,k0 aa mm oo kf
강군,k0 aa ng k0 uu nf
강국,k0 aa ng k0 uu kf
강구,k0 aa ng k0 uu
명의자,mm yv ng xi c0 aa
호위함,h0 oo wi h0 aa mf
컨버터블,kh vv nf p0 vv th vv p0 xx ll
왕제,wa ng c0 ee
엔드,ee nf t0 xx
왕정,wa ng c0 vv ng
자영,c0 aa yv ng
홀드,h0 oo ll t0 xx
사로잡히,s0 aa rr oo c0 aa ph ii
피클,ph ii kh xx ll
빈발,p0 ii nf p0 aa ll
원은하,wv nn xx nf h0 aa
왕족,wa ng c0 oo kf
왕조,wa ng c0 oo
연서,yv nf s0 vv
연석,yv nf s0 vv kf
미드필더,mm ii t0 xx ph ii ll t0 vv
제소,c0 ee s0 oo
지구의,c0 ii k0 uu xi
연성,yv nf s0 vv ng
원화,wv nf h0 wa
기면,k0 ii mm yv nf
상단,s0 aa ng t0 aa nf
연세,yv nf s0 ee
소수점,s0 oo s0 uu c0 vv mf
전환점,c0 vv nf h0 wa nf c0 vv mf
연선,yv nf s0 vv nf
상담,s0 aa ng t0 aa mf
연설,yv nf s0 vv ll
상당,s0 aa ng t0 aa ng
강관,k0 aa ng k0 wa nf
지구인,c0 ii k0 uu ii nf
희망봉,h0 xi mm aa ng p0 oo ng
강공,k0 aa ng k0 oo ng
지배하,c0 ii p0 qq h0 aa
조원,c0 oo wv nf
연상,yv nf s0 aa ng
화엄종,h0 wa vv mf c0 oo ng
자장,c0 aa c0 aa ng
파문,ph aa mm uu nf
팔달구,ph aa ll t0 aa ll k0 uu
자자,c0 aa c0 aa
자작,c0 aa c0 aa kf
능,nn xx ng
자잘,c0 aa c0 aa ll
혁신적,h0 yv kf ss ii nf cc vv kf
인상파,ii nf s0 aa ng ph aa
스파르타쿠스,s0 xx ph aa rr xx th aa kh uu s0 xx
보루,p0 oo rr uu
강계,k0 aa ng k0 ye
교훈,k0 yo h0 uu nf
니에,nn ii ee
동급,t0 oo ng k0 xx pf
성취도,s0 vv ng ch wi t0 oo
꿇,kk uu ll
터틀,th vv th xx ll
연산군,yv nf s0 aa nf k0 uu nf
상덕,s0 aa ng t0 vv kf
엔딩,ee nf t0 ii ng
빈부,p0 ii nf p0 uu
설파,s0 vv ll ph aa
덤,t0 vv mf
기미,k0 ii mm ii
기민,k0 ii mm ii nf
우울,uu uu ll
동기,t0 oo ng k0 ii
왕지,wa ng c0 ii
연사,yv nf s0 aa
출납,ch uu ll rr aa pf
보로,p0 oo rr oo
동편제,t0 oo ng ph yv nf c0 ee
기묘,k0 ii mm yo
자유,c0 aa yu
자율,c0 aa yu ll
기뻐하,k0 ii pp vv h0 aa
홍문,h0 oo ng mm uu nf
교화,k0 yo h0 wa
기문,k0 ii mm uu nf
기물,k0 ii mm uu ll
단위계,t0 aa nn wi k0 ye
자위,c0 aa wi
상도,s0 aa ng t0 oo
자이,c0 aa ii
교호,k0 yo h0 oo
자일,c0 aa ii ll
네이버,nn ee ii p0 vv
도그마,t0 oo k0 xx mm aa
상동,s0 aa ng t0 oo ng
타이둥,th aa ii t0 uu ng
보령,p0 oo rr yv ng
자의,c0 aa xi
넘어가,nn vv mm vv k0 aa
강간,k0 aa ng kk aa nf
제사,c0 ee s0 aa
흔적,h0 xx nf c0 vv kf
강가,k0 aa ng kk aa
자음,c0 aa xx mf
있는,ii nf nn xx nf
출동,ch uu ll t0 oo ng
디젤,t0 ii c0 ee ll
기뢰,k0 ii rr wo
불상,p0 uu ll ss aa ng
동국,t0 oo ng k0 uu kf
동구,t0 oo ng k0 uu
표창,ph yo ch aa ng
동군,t0 oo ng k0 uu nf
동굴,t0 oo ng k0 uu ll
표착,ph yo ch aa kf
예술단,ye s0 uu ll tt aa nf
증손자,c0 xx ng s0 oo nf c0 aa
동관,t0 oo ng k0 wa nf
아크릴,aa kh xx rr ii ll
동광,t0 oo ng k0 wa ng
자이언트,c0 aa ii vv nf th xx
양반,ya ng p0 aa nf
새기,s0 qq k0 ii
호루스,h0 oo rr uu s0 xx
이끌,ii kk xx ll
스콜라,s0 xx kh oo ll rr aa
탱고,th qq ng k0 oo
파로,ph aa rr oo
행성상,h0 qq ng s0 vv ng s0 aa ng
뒤집어쓰,t0 wi c0 ii p0 vv ss xx
있다,ii tf tt aa
밤중,p0 aa mf c0 uu ng
양복,ya ng p0 oo kf
양보,ya ng p0 oo
내명부,nn qq mm yv ng p0 uu
다면서,t0 aa mm yv nf s0 vv
교합,k0 yo h0 aa pf
병사,p0 yv ng s0 aa
교하,k0 yo h0 aa
교학,k0 yo h0 aa kf
패터슨,ph qq th vv s0 xx nf
중서령,c0 uu ng s0 vv rr yv ng
설탕,s0 vv ll th aa ng
동권,t0 oo ng k0 wv nf
동궁,t0 oo ng k0 uu ng
필요없,ph ii ll rr yo vv pf
기로,k0 ii rr oo
기록,k0 ii rr oo kf
보물,p0 oo mm uu ll
상냥,s0 aa ng nn ya ng
보문,p0 oo mm uu nf
병상,p0 yv ng s0 aa ng
병세,p0 yv ng s0 ee
연시,yv nf s0 ii
공산,k0 oo ng s0 aa nf
병선,p0 yv ng s0 vv nf
콘도르,kh oo nf t0 oo rr xx
병설,p0 yv ng s0 vv ll
기름,k0 ii rr xx mf
결승선,k0 yv ll s0 xx ng s0 vv nf
기린,k0 ii rr ii nf
자양,c0 aa ya ng
세라믹,s0 ee rr aa mm ii kf
동반자,t0 oo ng p0 aa nf c0 aa
병석,p0 yv ng s0 vv kf
병서,p0 yv ng s0 vv
일가족,ii ll k0 aa c0 oo kf
터키,th vv kh ii
동거,t0 oo ng k0 vv
동건,t0 oo ng k0 vv nf
기리,k0 ii rr ii
자연,c0 aa yv nf
국교회,k0 uu kf kk yo h0 wo
제수,c0 ee s0 uu
기망,k0 ii mm aa ng
동서양,t0 oo ng s0 vv ya ng
동감,t0 oo ng k0 aa mf
기마,k0 ii mm aa
피폭,ph ii ph oo kf
동강,t0 oo ng k0 aa ng
기만,k0 ii mm aa nf
순결,s0 uu nf k0 yv ll
피폐,ph ii ph ye
연습,yv nf s0 xx pf
연승,yv nf s0 xx ng
불가능,p0 uu ll k0 aa nn xx ng
작용기,c0 aa k0 yo ng k0 ii
밀무역,mm ii ll mm uu yv kf
양봉,ya ng p0 oo ng
서비스업,s0 vv p0 ii s0 xx vv pf
돈오,t0 oo nn oo
파리,ph aa rr ii
제식,c0 ee s0 ii kf
생성물,s0 qq ng s0 vv ng mm uu ll
공주군,k0 oo ng c0 uu k0 uu nf
익스프레스,ii kf ss xx ph xx rr ee s0 xx
동고,t0 oo ng k0 oo
퍼드,ph vv t0 xx
예술대,ye s0 uu ll tt qq
영화화되,yv ng h0 wa h0 wa t0 wo
밀레니엄,mm ii ll rr ee nn ii vv mf
제실,c0 ee s0 ii ll
동과,t0 oo ng k0 wa
내대신,nn qq t0 qq s0 ii nf
판결문,ph aa nf k0 yv ll mm uu nf
동공,t0 oo ng k0 oo ng
아크로,aa kh xx rr oo
수송기,s0 uu s0 oo ng k0 ii
동검,t0 oo ng k0 vv mf
기류,k0 ii rr yu
기호학,k0 ii h0 oo h0 aa kf
자야,c0 aa ya
통신사,th oo ng s0 ii nf s0 aa
몬스터,mm oo nf s0 xx th vv
앗,aa tf
동격,t0 oo ng k0 yv kf
길쭉,k0 ii ll cc uu kf
기르,k0 ii rr xx
파마,ph aa mm aa
양부,ya ng p0 uu
제스,c0 ee s0 xx
의견서,xi k0 yv nf s0 vv
동경,t0 oo ng k0 yv ng
양분,ya ng p0 uu nf
자아,c0 aa aa
동결,t0 oo ng k0 yv ll
신호기,s0 ii nf h0 oo k0 ii
눈부시,nn uu nf p0 uu s0 ii
디오,t0 ii oo
일그러지,ii ll k0 xx rr vv c0 ii
관세청,k0 wa nf s0 ee ch vv ng
진화론,c0 ii nf h0 wa rr oo nf
볼모,p0 oo ll mm oo
자폭,c0 aa ph oo kf
상비,s0 aa ng p0 ii
연출,yv nf ch uu ll
불가분,p0 uu ll k0 aa p0 uu nf
화,h0 wa
핵분열,h0 qq kf pp uu nf nn yv ll
사면령,s0 aa mm yv ll rr yv ng
생필품,s0 qq ng ph ii ll ph uu mf
재정,c0 qq c0 vv ng
선수단,s0 vv nf s0 uu t0 aa nf
주모자,c0 uu mm oo c0 aa
양당,ya ng t0 aa ng
나노미터,nn aa nn oo mm ii th vv
깨우치,kk qq uu ch ii
양단,ya ng t0 aa nf
킹스턴,kh ii ng s0 xx th vv nf
빼앗기,pp qq aa tf kk ii
아크라,aa kh xx rr aa
포트폴리오,ph oo th xx ph oo ll rr ii oo
교서관,k0 yo s0 vv k0 wa nf
고해상도,k0 oo h0 qq s0 aa ng t0 oo
포워드,ph oo wv t0 xx
보디,p0 oo t0 ii
표식,ph yo s0 ii kf
뭍,mm uu tf
연초,yv nf ch oo
두바이,t0 uu p0 aa ii
과반수,k0 wa p0 aa nf s0 uu
싱크로,s0 ii ng kh xx rr oo
초이스,ch oo ii s0 xx
연설문,yv nf s0 vv ll mm uu nf
금속판,k0 xx mf s0 oo kf ph aa nf
상점가,s0 aa ng c0 vv mf k0 aa
룸바,rr uu mf p0 aa
좁,c0 oo pf
보드,p0 oo t0 xx
투명,th uu mm yv ng
출병,ch uu ll p0 yv ng
알파벳,aa ll ph aa p0 ee tf
널,nn vv ll
중심가,c0 uu ng s0 ii mf k0 aa
에보,ee p0 oo
드스,t0 xx s0 xx
토벌군,th oo p0 vv ll k0 uu nf
그런데,k0 xx rr vv nf t0 ee
출범,ch uu ll p0 vv mf
메이드,mm ee ii t0 xx
결정전,k0 yv ll c0 vv ng c0 vv nf
드시,t0 xx s0 ii
결정적,k0 yv ll c0 vv ng c0 vv kf
격납고,k0 yv ng nn aa pf kk oo
파라,ph aa rr aa
기량,k0 ii rr ya ng
미술전,mm ii s0 uu ll cc vv nf
방배동,p0 aa ng p0 qq t0 oo ng
연체,yv nf ch ee
런트,rr vv nf th xx
제창,c0 ee ch aa ng
양대,ya ng t0 qq
칼데라,kh aa ll t0 ee rr aa
선덕왕,s0 vv nf t0 vv k0 wa ng
긴박,k0 ii nf p0 aa kf
긴밀,k0 ii nf mm ii ll
시마즈,s0 ii mm aa c0 xx
파란,ph aa rr aa nf
양동,ya ng t0 oo ng
헤라클레스,h0 ee rr aa kh xx ll rr ee s0 xx
파랗,ph aa rr aa h0
양도,ya ng t0 oo
파랑,ph aa rr aa ng
양돈,ya ng t0 oo nf
버뮤다,p0 vv mm yu t0 aa
학파,h0 aa kf ph aa
공산품,k0 oo ng s0 aa nf ph uu mf
돌리,t0 oo ll rr ii
잠정,c0 aa mf c0 vv ng
고등과,k0 oo t0 xx ng k0 wa
출반,ch uu ll p0 aa nf
제척,c0 ee ch vv kf
맥스웰,mm qq kf ss xx we ll
미크로,mm ii kh xx rr oo
시험,s0 ii h0 vv mf
돌림,t0 oo ll rr ii mf
반원형,p0 aa nn wv nf h0 yv ng
분계선,p0 uu nf k0 ye s0 vv nf
자연주의,c0 aa yv nf c0 uu xi
비너스,p0 ii nn vv s0 xx
기라,k0 ii rr aa
제철,c0 ee ch vv ll
연차,yv nf ch aa
제청,c0 ee ch vv ng
소도시,s0 oo t0 oo s0 ii
차별성,ch aa p0 yv ll s0 vv ng
병참,p0 yv ng ch aa mf
병창,p0 yv ng ch aa ng
렌,rr ee nf
상반,s0 aa ng p0 aa nf
아테나,aa th ee nn aa
탕평책,th aa ng ph yv ng ch qq kf
랩,rr qq pf
투리,th uu rr ii
폭풍우,ph oo kf ph uu ng uu
마이어,mm aa ii vv
포보스,ph oo p0 oo s0 xx
유동화,yu t0 oo ng h0 wa
젊,c0 vv mf
키하,kh ii h0 aa
제작진,c0 ee c0 aa kf cc ii nf
자주,c0 aa c0 uu
보람,p0 oo rr aa mf
애니미즘,qq nn ii mm ii c0 xx mf
리라,rr ii rr aa
체육부,ch ee yu kf pp uu
파두,ph aa t0 uu
뇽,nn yo ng
변계,p0 yv nf k0 ye
변란,p0 yv ll rr aa nf
상법,s0 aa ng p0 vv pf
음이온,xx mm ii oo nf
보라,p0 oo rr aa
과도기,k0 wa t0 oo k0 ii
전자기파,c0 vv nf c0 aa k0 ii ph aa
자정,c0 aa c0 vv ng
조선,c0 oo s0 vv nf
자제,c0 aa c0 ee
금지법,k0 xx mf c0 ii p0 vv pf
자전,c0 aa c0 vv nf
코리아,kh oo rr ii aa
코리안,kh oo rr ii aa nf
완전,wa nf c0 vv nf
논평,nn oo nf ph yv ng
자존,c0 aa c0 oo nf
설계,s0 vv ll k0 ye
카시니,kh aa s0 ii nn ii
상병,s0 aa ng p0 yv ng
제일의,c0 ee ii rr xi
표상,ph yo s0 aa ng
구슬,k0 uu s0 xx ll
증산,c0 xx ng s0 aa nf
빠지,pp aa c0 ii
에어리,ee vv rr ii
부통령,p0 uu th oo ng nn yv ng
심포지엄,s0 ii mf ph oo c0 ii vv mf
필하모니,ph ii ll h0 aa mm oo nn ii
상복,s0 aa ng p0 oo kf
기둥,k0 ii t0 uu ng
파드,ph aa t0 xx
바이스,p0 aa ii s0 xx
확장성,h0 wa kf cc aa ng s0 vv ng
변경,p0 yv nf k0 yv ng
상봉,s0 aa ng p0 oo ng
간헐천,k0 aa nf h0 vv ll ch vv nf
제치,c0 ee ch ii
은하계,xx nf h0 aa k0 ye
뽑아내,pp oo p0 aa nn qq
에어로,ee vv rr oo
공산화,k0 oo ng s0 aa nf h0 wa
오보에,oo p0 oo ee
빈도,p0 ii nf t0 oo
양념,ya ng nn yv mf
중학교,c0 uu ng h0 aa kf kk yo
양녀,ya ng nn yv
제품,c0 ee ph uu mf
다면체,t0 aa mm yv nf ch ee
만돌린,mm aa nf t0 oo ll rr ii nf
어려워지,vv rr yv wv c0 ii
생,s0 qq ng
매표소,mm qq ph yo s0 oo
뛰어내리,tt wi vv nn qq rr ii
돌아가,t0 oo rr aa k0 aa
조광조,c0 oo k0 wa ng c0 oo
자지,c0 aa c0 ii
자진,c0 aa c0 ii nf
밝아지,p0 aa ll k0 aa c0 ii
학통,h0 aa kf th oo ng
상부,s0 aa ng p0 uu
아즈텍,aa c0 xx th ee kf
지구전,c0 ii k0 uu c0 vv nf
기루,k0 ii rr uu
뚝배기,tt uu kf pp qq k0 ii
대대,t0 qq t0 qq
왕윤,wa ng nn yu nf
솜,s0 oo mf
굴절률,k0 uu ll c0 vv ll rr yu ll
송파구,s0 oo ng ph aa k0 uu
자중,c0 aa c0 uu ng
아테네,aa th ee nn ee
울분,uu ll p0 uu nf
질투심,c0 ii ll th uu s0 ii mf
브레이크,p0 xx rr ee ii kh xx
왕위,wa ng wi
사학자,s0 aa h0 aa kf cc aa
이남,ii nn aa mf
청천강,ch vv ng ch vv nf k0 aa ng
길이,k0 ii rr ii
왕의,wa ng xi
디엔,t0 ii ee nf
산타페,s0 aa nf th aa ph ee
세화,s0 ee h0 wa
타깃,th aa k0 ii tf
손잡이,s0 oo nf c0 aa p0 ii
복족류,p0 oo kf cc oo ng nn yu
연지,yv nf c0 ii
연직,yv nf c0 ii kf
눔,nn uu mf
적대감,c0 vv kf tt qq k0 aa mf
코발트,kh oo p0 aa ll th xx
조봉암,c0 oo p0 oo ng aa mf
출마,ch uu ll mm aa
비자금,p0 ii c0 aa k0 xx mf
문리,mm uu ll rr ii
소유격,s0 oo yu k0 yv kf
구로구,k0 uu rr oo k0 uu
배기량,p0 qq k0 ii rr ya ng
논하,nn oo nf h0 aa
기능,k0 ii nn xx ng
메시앙,mm ee s0 ii aa ng
학회,h0 aa kh wo
시내버스,s0 ii nn qq p0 vv s0 xx
필라델피아,ph ii ll rr aa t0 ee ll ph ii aa
기니,k0 ii nn ii
브레드,p0 xx rr ee t0 xx
확장자,h0 wa kf cc aa ng c0 aa
왕생,wa ng s0 qq ng
황폐화되,h0 wa ng ph ye h0 wa t0 wo
사업단,s0 aa vv pf tt aa nf
처분권,ch vv p0 uu nf k0 wv nf
타기,th aa k0 ii
상면,s0 aa ng mm yv nf
기단,k0 ii t0 aa nf
귀엽,k0 wi yv pf
업그레이드,vv pf kk xx rr ee ii t0 xx
상명,s0 aa ng mm yv ng
패러다임,ph qq rr vv t0 aa ii mf
서식지,s0 vv s0 ii kf cc ii
돌보,t0 oo ll p0 oo
제지,c0 ee c0 ii
세터,s0 ee th vv
삽화,s0 aa ph wa
돌변,t0 oo ll p0 yv nf
상목,s0 aa ng mm oo kf
상모,s0 aa ng mm oo
자유분방,c0 aa yu p0 uu nf p0 aa ng
위조죄,wi c0 oo c0 wo
시민권,s0 ii mm ii nf k0 wv nf
연중,yv nf c0 uu ng
후,h0 uu
흩뿌리,h0 xx tf pp uu rr ii
포터블,ph oo th vv p0 xx ll
연줄,yv nf c0 uu ll
신중히,s0 ii nf cc uu ng h0 ii
자칫,c0 aa ch ii tf
차관,ch aa k0 wa nf
자칭,c0 aa ch ii ng
디시,t0 ii s0 ii
다수당,t0 aa s0 uu t0 aa ng
자치,c0 aa ch ii
훼,h0 we
관,k0 wa nf
소유권,s0 oo yu k0 wv nf
초지,ch oo c0 ii
발렌타인,p0 aa ll rr ee nf th aa ii nf
제조,c0 ee c0 oo
떨어지,tt vv rr vv c0 ii
왕손,wa ng s0 oo nf
연주,yv nf c0 uu
함흥시,h0 aa mf h0 xx ng s0 ii
바쿠,p0 aa kh uu
벽돌,p0 yv kf tt oo ll
엔터테인먼트,ee nf th vv th ee ii nf mm vv nf th xx
출루,ch uu ll rr uu
점성가,c0 vv mf s0 vv ng k0 aa
제정,c0 ee c0 vv ng
제제,c0 ee c0 ee
기동,k0 ii t0 oo ng
시해,s0 ii h0 qq
표의,ph yo xi
빠져나오,pp aa c0 yv nn aa oo
제전,c0 ee c0 vv nf
셰프,s0 ye ph xx
제적,c0 ee c0 vv kf
표음,ph yo xx mf
연좌,yv nf c0 wa
홍도,h0 oo ng t0 oo
세타,s0 ee th aa
세탁,s0 ee th aa kf
곧잘,k0 oo tf cc aa ll
세태,s0 ee th qq
문화부,mm uu nf h0 wa p0 uu
룹,rr uu pf
광양시,k0 wa ng nn ya ng s0 ii
드웨,t0 xx we
다나카,t0 aa nn aa kh aa
왕세,wa ng s0 ee
상고심,s0 aa ng k0 oo s0 ii mf
리비아,rr ii p0 ii aa
스위프트,s0 xx wi ph xx th xx
발맞추,p0 aa ll mm aa tf ch uu
세포막,s0 ee ph oo mm aa kf
주기도,c0 uu k0 ii t0 oo
왕성,wa ng s0 vv ng
기대,k0 ii t0 qq
침체기,ch ii mf ch ee k0 ii
슈이치,s0 yu ii ch ii
자켓,c0 aa kh ee tf
제주,c0 ee c0 uu
외손녀,wo s0 oo nf nn yv
선착장,s0 vv nf ch aa kf cc aa ng
연접,yv nf c0 vv pf
피지,ph ii c0 ii
세크,s0 ee kh xx
기덕,k0 ii t0 vv kf
연제,yv nf c0 ee
구체제,k0 uu ch ee c0 ee
둑,t0 uu kf
구체적,k0 uu ch ee c0 vv kf
점토판,c0 vv mf th oo ph aa nf
연전,yv nf c0 vv nf
거문고,k0 vv mm uu nf k0 oo
베트남전,p0 ee th xx nn aa mf c0 vv nf
납치,nn aa pf ch ii
파도,ph aa t0 oo
엿보이,yv tf pp oo ii
출력,ch uu ll rr yv kf
필기,ph ii ll k0 ii
결정체,k0 yv ll c0 vv ng ch ee
상민,s0 aa ng mm ii nf
파동,ph aa t0 oo ng
불성,p0 uu ll ss vv ng
우아,uu aa
번뇌,p0 vv nf nn wo
자체,c0 aa ch ee
주계열,c0 uu k0 ye yv ll
보도,p0 oo t0 oo
자청,c0 aa ch vv ng
병점,p0 yv ng c0 vv mf
돌비,t0 oo ll p0 ii
루돌프,rr uu t0 oo ll ph xx
병정,p0 yv ng c0 vv ng
기내,k0 ii nn qq
구드룬,k0 uu t0 xx rr uu nf
결승점,k0 yv ll s0 xx ng c0 vv mf
자처,c0 aa ch vv
병제,p0 yv ng c0 ee
겉모습,k0 vv nf mm oo s0 xx pf
병적,p0 yv ng c0 vv kf
이대,ii t0 qq
보르지,p0 oo rr xx c0 ii
결승전,k0 yv ll s0 xx ng c0 vv nf
병조,p0 yv ng c0 oo
타가,th aa k0 aa
학풍,h0 aa kf ph uu ng
병존,p0 yv ng c0 oo nf
세포,s0 ee ph oo
피카츄,ph ii kh aa ch yu
병졸,p0 yv ng c0 oo ll
음료수,xx mf nn yo s0 uu
왕실,wa ng s0 ii ll
오순절,oo s0 uu nf c0 vv ll
상록,s0 aa ng nn oo kf
상로,s0 aa ng nn oo
타개,th aa k0 qq
집대성,c0 ii pf tt qq s0 vv ng
장애물,c0 aa ng qq mm uu ll
몽골족,mm oo ng k0 oo ll c0 oo kf
춤추,ch uu mf ch uu
상업화,s0 aa ng vv ph wa
타계,th aa k0 ye
보더,p0 oo t0 vv
보덕,p0 oo t0 vv kf
파내,ph aa nn qq
관념론,k0 wa nf nn yv mf nn oo nf
자택,c0 aa th qq kf
타고,th aa k0 oo
왕수,wa ng s0 uu
자타,c0 aa th aa
보데,p0 oo t0 ee
세팅,s0 ee th ii ng
소크라테스,s0 oo kh xx rr aa th ee s0 xx
무임소,mm uu ii mf s0 oo
녕,nn yv ng
타겟,th aa k0 ee tf
퍼붓,ph vv p0 uu tf
공공연히,k0 oo ng k0 oo ng nn yv nf h0 ii
타격,th aa k0 yv kf
타결,th aa k0 yv ll
샴,s0 ya mf
타타르,th aa th aa rr xx
지평선,c0 ii ph yv ng s0 vv nf
퇴적암,th wo c0 vv k0 aa mf
다국적,t0 aa k0 uu kf cc vv kf
파넬,ph aa nn ee ll
세트,s0 ee th xx
필리프,ph ii ll rr ii ph xx
여러모로,yv rr vv mm oo rr oo
보답,p0 oo t0 aa pf
타구,th aa k0 uu
타국,th aa k0 uu kf
보다,p0 oo t0 aa
인식론,ii nf s0 ii ng nn oo nf
장주기,c0 aa ng c0 uu k0 ii
학행,h0 aa kh qq ng
중원구,c0 uu ng wv nf k0 uu
만명,mm aa nf mm yv ng
맏,mm aa tf
숫자,s0 uu tf cc aa
용산구,yo ng s0 aa nf k0 uu
투병,th uu p0 yv ng
상륙,s0 aa ng nn yu kf
상류,s0 aa ng nn yu
자취,c0 aa ch wi
울르,uu ll rr xx
필리핀,ph ii ll rr ii ph ii nf
주점,c0 uu c0 vv mf
출몰,ch uu ll mm oo ll
아르메니아,aa rr xx mm ee nn ii aa
해내,h0 qq nn qq
에어백,ee vv p0 qq kf
번개,p0 vv nf k0 qq
캔터,kh qq nf th vv
잡아당기,c0 aa p0 aa t0 aa ng k0 ii
번갈,p0 vv nf k0 aa ll
연면적,yv nf mm yv nf c0 vv kf
간헐적,k0 aa nf h0 vv ll c0 vv kf
번가,p0 vv nf k0 aa
표어,ph yo vv
울릉,uu ll rr xx ng
밤새,p0 aa mf s0 qq
상리,s0 aa ng nn ii
ㅈ,
자초,c0 aa ch oo
기념,k0 ii nn yv mf
영친왕,yv ng ch ii nn wa ng
기녀,k0 ii nn yv
기년,k0 ii nn yv nf
곱셈,k0 oo pf ss ee mf
맹렬히,mm qq ng nn yv ll h0 ii
앤드,qq nf t0 xx
병진,p0 yv ng c0 ii nf
감동적,k0 aa mf t0 oo ng c0 vv kf
햇볕,h0 qq tf pp yv tf
새로,s0 qq rr oo
제한,c0 ee h0 aa nf
라오스,rr aa oo s0 xx
제하,c0 ee h0 aa
제학,c0 ee h0 aa kf
양성화,ya ng s0 vv ng h0 wa
파기,ph aa k0 ii
대전차,t0 qq c0 vv nf ch aa
파급,ph aa k0 xx pf
세출,s0 ee ch uu ll
새롭,s0 qq rr oo pf
훔볼트,h0 uu mf p0 oo ll th xx
매클렐런,mm qq kh xx ll rr ee ll rr vv nf
팩토리,ph qq kf th oo rr ii
강림,k0 aa ng nn ii mf
싯켄,s0 ii tf kh ee nf
ㄹ수록,s0 uu rr oo kf
억양,vv k0 ya ng
보궐,p0 oo k0 wv ll
강리,k0 aa ng nn ii
사직동,s0 aa c0 ii kf tt oo ng
둘,t0 uu ll
연행,yv nf h0 qq ng
병환,p0 yv ng h0 wa nf
토번,th oo p0 vv nf
입후보자,ii ph uu p0 oo c0 aa
토벌,th oo p0 vv ll
동문,t0 oo ng mm uu nf
강릉,k0 aa ng nn xx ng
동물,t0 oo ng mm uu ll
동무,t0 oo ng mm uu
억압,vv k0 aa pf
연하,yv nf h0 aa
타닌,th aa nn ii nf
홍기,h0 oo ng k0 ii
연필,yv nf ph ii ll
제헌,c0 ee h0 vv nf
주세,c0 uu s0 ee
기기,k0 ii k0 ii
예시,ye s0 ii
연해,yv nf h0 qq
첨,ch vv mf
스비,s0 xx p0 ii
비즈니스,p0 ii c0 xx nn ii s0 xx
어린아이,vv rr ii nn aa ii
보국,p0 oo k0 uu kf
논지,nn oo nf c0 ii
씹,ss ii pf
연합,yv nf h0 aa pf
곡식,k0 oo kf ss ii kf
설원,s0 vv rr wv nf
ㅁ,
게다가,k0 ee t0 aa k0 aa
보광,p0 oo k0 wa ng
상업적,s0 aa ng vv pf cc vv kf
경애왕,k0 yv ng qq wa ng
섹슈얼,s0 ee kf ss yu vv ll
청소년기,ch vv ng s0 oo nn yv nf k0 ii
보관,p0 oo k0 wa nf
교향시,k0 yo h0 ya ng s0 ii
논증,nn oo nf c0 xx ng
제향,c0 ee h0 ya ng
춘분점,ch uu nf p0 uu nf c0 vv mf
토반,th oo p0 aa nf
피어,ph ii vv
논조,nn oo nf c0 oo
교신,k0 yo s0 ii nf
말다툼,mm aa ll t0 aa th uu mf
설인,s0 vv rr ii nf
삭발,s0 aa kf pp aa ll
포식자,ph oo s0 ii kf cc aa
자격시험,c0 aa k0 yv kf ss ii h0 vv mf
설이,s0 vv rr ii
김홍도,k0 ii mf h0 oo ng t0 oo
교시,k0 yo s0 ii
계단식,k0 ye t0 aa nf s0 ii kf
세척,s0 ee ch vv kf
동면,t0 oo ng mm yv nf
보고,p0 oo k0 oo
텀,th vv mf
지배권,c0 ii p0 qq k0 wv nf
교습,k0 yo s0 xx pf
크립톤,kh xx rr ii pf th oo nf
스토리,s0 xx th oo rr ii
쥐,c0 wi
절정기,c0 vv ll c0 vv ng k0 ii
병희,p0 yv ng h0 xi
자포,c0 aa ph oo
브람스,p0 xx rr aa mf s0 xx
블레이드,p0 xx ll rr ee ii t0 xx
릭스,rr ii kf ss xx
보경,p0 oo k0 yv ng
논점,nn oo nf c0 vv mf
논제,nn oo nf c0 ee
해치백,h0 qq ch ii p0 qq kf
냉소,nn qq ng s0 oo
세차,s0 ee ch aa
타도,th aa t0 oo
새말,s0 qq mm aa ll
셀러,s0 ee ll rr vv
연표,yv nf ph yo
주선,c0 uu s0 vv nf
강론,k0 aa ng nn oo nf
요리사,yo rr ii s0 aa
죽전,c0 uu kf cc vv nf
자판,c0 aa ph aa nf
유전체,yu c0 vv nf ch ee
엑스선,ee kf ss xx s0 vv nf
보건,p0 oo k0 vv nf
툭,th uu kf
공문,k0 oo ng mm uu nf
사무라이,s0 aa mm uu rr aa ii
자파,c0 aa ph aa
유자광,yu c0 aa k0 wa ng
강령,k0 aa ng nn yv ng
보강,p0 oo k0 aa ng
동명,t0 oo ng mm yv ng
보감,p0 oo k0 aa mf
강렬,k0 aa ng nn yv ll
지나치,c0 ii nn aa ch ii
경순왕,k0 yv ng s0 uu nn wa ng
강력,k0 aa ng nn yv kf
금요일,k0 xx mm yo ii ll
